Model,CV MSE,CV MAE,CV RMSE,CV R2,CV MAPE,Test MSE,Test MAE,Test RMSE,Test R2,Test MAPE,R2 Gap,RMSE Ratio,Overfitting Status,Model Status (Generalization)
XGBoost (Baseline),0.2911,0.4186,0.5396,0.7166,6.0787,0.2791,0.4102,0.5283,0.7356,6.037,-0.019,0.9791,Low,Good
XGBoost (Optuna),0.3598,0.4676,0.5998,0.6496,6.7381,0.3457,0.4581,0.588,0.6724,6.6765,-0.0228,0.9803,Low,Fair
XGBoost (RandomSearchCV),0.273,0.4038,0.5225,0.7342,5.87,0.2686,0.4011,0.5183,0.7455,5.9102,-0.0113,0.992,Low,Good
RandomForest (Baseline),0.2979,0.4254,0.5458,0.7099,6.1563,0.2917,0.4221,0.5401,0.7236,6.1952,-0.0137,0.9896,Low,Good
RandomForest (HalvingRandomSearchCV),0.2762,0.4058,0.5255,0.731,5.8882,0.2733,0.4033,0.5228,0.741,5.9436,-0.01,0.9949,Low,Good
RandomForest (Optuna),0.3038,0.4305,0.5512,0.7041,6.2263,0.294,0.4231,0.5422,0.7214,6.202,-0.0173,0.9837,Low,Good
LightGBM (Baseline),0.2841,0.4131,0.533,0.7233,5.9912,0.2759,0.4064,0.5253,0.7386,5.9844,-0.0153,0.9856,Low,Good
LightGBM (Optuna),0.3701,0.4745,0.6084,0.6393,6.837,0.3507,0.4628,0.5922,0.6677,6.7531,-0.0284,0.9734,Low,Fair
LightGBM (RandomSearchCV),0.2741,0.4043,0.5235,0.7331,5.8671,0.2683,0.4,0.518,0.7458,5.8899,-0.0127,0.9895,Low,Good
CatBoost (Baseline),0.2889,0.4155,0.5375,0.7187,6.0278,0.2682,0.4002,0.5178,0.7459,5.8874,-0.0272,0.9633,Low,Good
CatBoost (BayesianSearch),0.2727,0.4029,0.5222,0.7345,5.847,0.2675,0.4,0.5172,0.7466,5.8857,-0.0121,0.9904,Low,Good
CatBoost (Optuna),0.3605,0.4701,0.6004,0.6489,6.7826,0.273,0.4029,0.5225,0.7413,5.9393,-0.0924,0.8703,Mild,Good
